Site,Rich,FRic,RaoQ
454,7,0.412252567,0.107488596
461,2,NA,0.148109159
466,9,0.27240004,0.045186001
485,4,0.087225411,0.015633015
488,4,0.195116448,0.058660583
493,10,0.487861846,0.072551484
494,9,0.458159549,0.044062628
496,9,0.509358177,0.088896011
498,11,0.481085303,0.106241233
499,7,0.364989166,0.05003227
508,6,0.354163824,0.021663879
510,11,0.428841503,0.072504443
515,7,0.445000379,0.04401123
517,6,0.275327343,0.029589694
521,12,0.515825228,0.031489504
522,12,0.59218126,0.123456973
523,7,0.408114065,0.075586312
536,7,0.277482163,0.08027044
539,6,0.134651413,0.088906161
548,8,0.284688532,0.025279887
554,4,0.31264516,0.069961496
590,7,0.156389059,0.064225799
613,11,0.578814029,0.05335899
614,7,0.332391031,0.077159094
616,9,0.41888387,0.062829065
619,7,0.224257599,0.065603802
630,10,0.382122944,0.006913132
642,9,0.410888768,0.100031231
660,11,0.36800552,0.028471764
696,8,0.147896201,0.039185993
700,6,0.172494519,0.079104587
718,9,0.382562772,0.055105559
728,9,0.241559455,0.075134084
736,11,0.309124472,0.036781571
760,11,0.46823866,0.113918035
770,6,0.548964731,0.081096212
776,5,0.283389479,0.061001944
777,13,0.508597597,0.050142566
778,15,0.514128725,0.073770589
780,12,0.317520112,0.057855029
781,11,0.627667716,0.055052366
786,11,0.352983393,0.103810757
790,15,0.548417349,0.092539046
792,13,0.472982583,0.069942975
793,18,0.443612,0.062922234
795,14,0.490158583,0.071498938
796,20,0.776782188,0.059725195
802,11,0.59324744,0.109221216
804,11,0.679497016,0.124236186
805,11,0.38063825,0.054072221
806,11,0.301658226,0.10627662
811,17,0.640299284,0.10371988
812,12,0.252627651,0.082781802
814,9,0.288686015,0.054039536
816,17,0.619801352,0.098143508
817,16,0.66189638,0.071007717
827,17,0.321912024,0.078420858
828,12,0.283426132,0.015526048
833,19,0.600195037,0.036205797
834,7,0.241042508,0.007045352
857,14,0.347082676,0.063184952
867,9,0.455068617,0.037547292
868,21,0.577721687,0.067762584
873,11,0.349305719,0.02769285
900,13,0.579976049,0.075898315
901,13,0.388158897,0.040373056
906,9,0.309978369,0.060062689
915,10,0.329934217,0.093425929
917,13,0.390319796,0.094673533
918,7,0.535283913,0.113158567
920,20,0.45206932,0.072372378
922,6,0.229036382,0.037682363
945,13,0.614614919,0.032048222
964,10,0.464227896,0.003975526
969,15,0.377725415,0.048584475
973,6,0.406656675,0.037050559
974,6,0.323887805,0.086602108
976,13,0.38787586,0.070716183
979,8,0.313299603,0.049842447
980,7,0.149002432,0.047412413
984,11,0.50733382,0.057622269
985,9,0.461231472,0.060309636
988,12,0.631648146,0.048429751
989,5,0.2069043,0.040733298
999,10,0.242155464,0.047192107
1028,12,0.357901498,0.054402654
1034,9,0.265697141,0.059122782
1035,16,0.644278544,0.013549365
1039,7,0.309467594,0.088893471
1040,6,0.418628496,0.026475814
1041,8,0.324125876,0.103099254
1043,8,0.404842288,0.050196862
1063,14,0.394818693,0.034353615
1064,6,0.347130704,0.093428532
1069,6,0.606378452,0.063793331
1070,5,0.393463515,0.097087746
1074,14,0.709945633,0.090724471
1076,10,0.438755162,0.013465501
1077,14,0.554672878,0.05683757
1078,10,0.580317576,0.086341385
1079,8,0.417895085,0.024414618
1088,14,0.43202605,0.00756548
1089,16,0.623420423,0.02939883
1090,11,0.585796568,0.023131741
1095,7,0.32547533,0.044177151
1096,10,0.388213266,0.053049819
1098,12,0.333723629,0.027025335
1099,16,0.743776826,0.055655711
1101,12,0.395915032,0.028688439
1102,15,0.709945633,0.02330555
1117,8,0.139815623,0.060351262
1129,4,0.277377961,0.079350461
1130,3,0.128664088,0.058152112
1133,2,NA,0.028543525
1136,10,0.360426889,0.039153826
1152,8,0.554182162,0.123370985
1191,15,0.695030176,0.086203243
1196,15,0.65836742,0.016622366
1201,12,0.604717011,0.008934674
1267,5,0.117700194,0.085426242
1281,4,0.155586277,0.100707143
1282,9,0.273848764,0.018317926
1303,4,0.069817305,0.019556465
1305,4,0.189221705,0.033210207
1306,9,0.428067447,0.089904495
1325,8,0.341901829,0.138743693
1379,5,0.287491951,0.076764448
1382,5,0.425047284,0.097310618
1402,9,0.311340725,0.047069162
1436,4,0.245352802,0.04321572
1437,7,0.386198638,0.094205594
1438,14,0.559024075,0.025981881
1441,5,0.152085826,0.072872645
1443,10,0.560964445,0.105381495
1444,10,0.365586071,0.054894695
1449,11,0.466974531,0.004586925
1457,13,0.557327954,0.017654666
1458,11,0.569156992,0.007252946
1459,4,0.277160225,0.019124822
1461,13,0.534642532,0.038433151
1464,15,0.671796457,0.016902771
1465,10,0.56965202,0.009398289
1467,8,0.273491309,0.002656927
1469,14,0.427647955,0.101559519
1475,10,0.389891317,0.060385485
1486,7,0.392809467,0.118733079
1488,7,0.295841622,0.050982529
1489,4,0.241213445,0.012547515
1492,9,0.583728966,0.092789657
1493,13,0.731908215,0.034460373
1494,9,0.396556836,0.053321478
1497,11,0.459113703,0.06654893
1513,13,0.574791841,0.041478968
1514,12,0.500149437,0.020207303
1516,10,0.617145183,0.046762933
1519,16,0.588782853,0.04771858
1522,10,0.291611632,0.044027036
1523,11,0.407440173,0.068207396
1585,5,0.434950793,0.088623113
1592,9,0.456377086,0.106458934
1598,3,0.241213445,0.012258635
1626,14,0.652147409,0.073635385
1639,4,0.216412748,0.112979216
1651,5,0.352701575,0.117919613
1653,7,0.581053186,0.029397983
1655,5,0.374397234,0.040134977
1680,6,0.296827426,0.095719342
1681,10,0.385742149,0.052466429
1687,13,0.484394239,0.097171593
1697,9,0.324818991,0.005147215
1698,11,0.569196995,0.004178693
1701,12,0.56049661,0.080482735
1702,6,0.310819319,0.074947591
1703,16,0.709668178,0.030209076
1720,10,0.581051931,0.078769136
1727,11,0.505757366,0.079700458
1745,8,0.277744143,0.076666931
1747,8,0.446416884,0.090906033
1751,13,0.590992165,0.059326654
1754,9,0.216544943,0.058760192
5013,4,0.087434918,0.041342703
5016,8,0.248464291,0.088594479
5060,3,0.074834076,0.02877224
5106,4,0.113360822,0.072663289
5139,7,0.249070251,0.032466133
5155,12,0.358992714,0.058826628
5187,6,0.237230133,0.022409208
5206,4,0.055333111,0.024461809
5234,6,0.355397822,0.032796684
5264,7,0.389062278,0.058576108
5270,9,0.389615806,0.116802817
5276,4,0.246524064,0.07282911
5280,4,0.014895853,0.065700591
5286,12,0.49666337,0.093168487
5305,5,0.121725844,0.002179994
5375,11,0.55890674,0.043928729
5408,11,0.347197037,0.086045345
5409,3,0.045922365,0.041517496
5424,5,0.25979956,0.042429509
5473,5,0.326163193,0.041512053
5505,4,0.090514363,0.065928674
5509,9,0.654091225,0.101842304
5510,9,0.399295368,0.038602474
5584,7,0.19041645,0.098162264
5601,4,0.085076433,0.034578984
5603,5,0.403621585,0.092348608
5661,6,0.25474025,0.149447962
5663,5,0.302298816,0.012631473
5675,6,0.453885033,0.072721289
5677,9,0.254367467,0.113675722
5702,10,0.379843436,0.095854235
5723,9,0.509546093,0.050276908
5727,8,0.255769556,0.019719448
5728,5,0.124340926,0.08397847
5729,13,0.272021592,0.043446881
5737,12,0.338296437,0.066976925
5746,10,0.478003877,0.097279214
5755,2,NA,0.067085214
5757,19,0.672920898,0.084612987
5767,3,0.011429438,0.013250566
5768,6,0.486358963,0.129120804
5769,6,0.336616887,0.052746127
5772,4,0.210917771,0.102238944
5789,6,0.16911214,0.038921429
5790,10,0.350535496,0.076540978
5791,5,0.26934558,0.081428438
5792,7,0.20980855,0.086407231
5808,6,0.087394279,0.096435868
5818,4,0.170761152,0.060631556
5835,11,0.383746331,0.075276186
5848,7,0.100797961,0.075436561
5849,6,0.149129894,0.060124646
5900,2,NA,0.036706239
5933,9,0.338339088,0.091555092
5950,8,0.267380605,0.090481585
5952,8,0.356434057,0.017328207
5963,5,0.399643815,0.047751941
5965,6,0.400114724,0.037438253
5970,2,NA,0.031867245
5975,6,0.188170148,0.089515823
5988,8,0.316729729,0.083798598
5998,6,0.451303794,0.10499409
6011,6,0.177655249,0.019459841
6050,12,0.404680657,0.132535763
6051,11,0.510914648,0.082344469
6057,1,NA,0
7033,8,0.51148541,0.015766073
7048,9,0.279971065,0.049881526
7049,12,0.315547966,0.045193579
7050,13,0.449693737,0.024715752
7061,9,0.203987708,0.052873353
7063,10,0.175533102,0.036245821
7064,10,0.248958698,0.028497741
7065,7,0.443292121,0.019872292
7069,8,0.273848764,0.04730412
